road_type,hour,count_date,all_motor_vehicles
motorway,9,2023-06-26,1962.25
motorway,9,2023-06-27,3686.4166666666665
motorway,9,2023-06-28,3061.0
motorway,9,2023-06-30,1418.5
motorway,9,2023-07-03,3056.0
motorway,9,2023-07-04,3026.375
motorway,9,2023-07-05,2559.0
motorway,9,2023-07-06,2686.25
motorway,9,2023-07-10,3612.5
motorway,9,2023-07-11,2034.0
motorway,9,2023-07-12,2539.1
motorway,9,2023-07-13,3408.5
motorway,9,2023-07-14,3458.75
motorway,9,2023-07-18,3224.5
motorway,9,2023-09-06,2049.5
motorway,9,2023-09-08,3184.9285714285716
motorway,9,2023-09-11,1661.5
motorway,9,2023-09-12,3203.1666666666665
motorway,9,2023-09-13,4091.0
motorway,9,2023-09-14,2599.0
motorway,9,2023-09-15,4258.5
motorway,9,2023-09-18,3729.0
motorway,9,2023-09-19,3154.5
motorway,9,2023-09-20,3552.125
motorway,9,2023-09-21,2311.25
motorway,9,2023-09-22,2944.5
motorway,9,2023-09-26,2433.5
motorway,9,2023-09-27,2930.25
motorway,9,2023-09-28,2890.9285714285716
motorway,9,2023-09-29,3149.4166666666665
motorway,9,2023-10-03,2104.5
motorway,9,2023-10-06,3068.25
motorway,9,2023-10-09,2120.0
motorway,9,2023-10-10,2383.5
motorway,9,2023-10-11,1586.5
motorway,9,2023-10-12,3687.0
motorway,9,2023-10-17,4923.0
motorway,10,2023-03-15,193.0
motorway,10,2023-03-20,454.5
motorway,10,2023-03-27,2585.1428571428573
motorway,10,2023-03-29,2682.2
motorway,10,2023-04-17,2363.0
motorway,10,2023-04-18,2100.6363636363635
motorway,10,2023-04-19,2343.3333333333335
motorway,10,2023-04-20,2300.1666666666665
motorway,10,2023-04-21,2180.7272727272725
motorway,10,2023-04-24,3212.75
motorway,10,2023-04-25,2277.6666666666665
motorway,10,2023-04-26,2211.6
motorway,10,2023-04-27,2741.9285714285716
motorway,10,2023-04-28,2088.9166666666665
motorway,10,2023-05-02,3530.5
motorway,10,2023-05-03,3024.0
motorway,10,2023-05-04,2500.1666666666665
motorway,10,2023-05-05,2823.4375
motorway,10,2023-05-09,1974.5
motorway,10,2023-05-10,2362.0
motorway,10,2023-05-11,2555.4285714285716
motorway,10,2023-05-15,2712.1666666666665
motorway,10,2023-05-16,2509.0
motorway,10,2023-05-17,2094.4
motorway,10,2023-05-18,2479.3333333333335
motorway,10,2023-05-19,3166.1666666666665
motorway,10,2023-05-22,1845.0
motorway,10,2023-05-23,2989.5
motorway,10,2023-05-24,2926.4166666666665
motorway,10,2023-05-25,3582.5
motorway,10,2023-05-26,4333.5
motorway,10,2023-06-05,2818.214285714286
motorway,10,2023-06-06,2829.75
motorway,10,2023-06-07,3039.777777777778
motorway,10,2023-06-09,3638.25
motorway,10,2023-06-12,3247.1666666666665
motorway,10,2023-06-13,3999.0
motorway,10,2023-06-14,2994.3333333333335
motorway,10,2023-06-15,2198.6666666666665
motorway,10,2023-06-16,3797.4
motorway,10,2023-06-19,1561.0
motorway,10,2023-06-20,2554.875
motorway,10,2023-06-21,3032.5
motorway,10,2023-06-22,2314.8
motorway,10,2023-06-23,2699.0
motorway,10,2023-06-26,1738.5
motorway,10,2023-06-27,3533.9166666666665
motorway,10,2023-06-28,3005.0
motorway,10,2023-06-30,1599.5
motorway,10,2023-07-03,2737.75
motorway,10,2023-07-04,2784.5
motorway,10,2023-07-05,2439.0
motorway,10,2023-07-06,2950.0
motorway,10,2023-07-10,3520.5
motorway,10,2023-07-11,2063.0
motorway,10,2023-07-12,2412.2
motorway,10,2023-07-13,3253.6666666666665
motorway,10,2023-07-14,3727.375
motorway,10,2023-07-18,3007.0
motorway,10,2023-09-06,1767.5
motorway,10,2023-09-08,3480.4285714285716
motorway,10,2023-09-11,1529.0
motorway,10,2023-09-12,2931.8333333333335
motorway,10,2023-09-13,4227.5
motorway,10,2023-09-14,2365.0
motorway,10,2023-09-15,4228.5
motorway,10,2023-09-18,3848.0
motorway,10,2023-09-19,3019.5
motorway,10,2023-09-20,3269.875
motorway,10,2023-09-21,2013.0
motorway,10,2023-09-22,3347.6666666666665
motorway,10,2023-09-26,2386.5
motorway,10,2023-09-27,2869.5
motorway,10,2023-09-28,2620.785714285714
motorway,10,2023-09-29,3218.0833333333335
motorway,10,2023-10-03,1777.25
motorway,10,2023-10-06,3120.875
motorway,10,2023-10-09,1818.5
motorway,10,2023-10-10,1966.0
motorway,10,2023-10-11,1893.0
motorway,10,2023-10-12,3901.0
motorway,10,2023-10-17,4391.5
motorway,11,2023-03-15,229.0
motorway,11,2023-03-20,437.0
motorway,11,2023-03-27,2607.9285714285716
motorway,11,2023-03-29,2700.866666666667
motorway,11,2023-04-17,2511.0
motorway,11,2023-04-18,2131.6363636363635
motorway,11,2023-04-19,2332.6666666666665
motorway,11,2023-04-20,2270.5
motorway,11,2023-04-21,2337.3636363636365
motorway,11,2023-04-24,3071.25
motorway,11,2023-04-25,2289.6666666666665
motorway,11,2023-04-26,2254.6
motorway,11,2023-04-27,2777.5
motorway,11,2023-04-28,2267.75
motorway,11,2023-05-02,3482.0
motorway,11,2023-05-03,3012.5
motorway,11,2023-05-04,2593.5
motorway,11,2023-05-05,2958.375
motorway,11,2023-05-09,1973.25
motorway,11,2023-05-10,2170.2
motorway,11,2023-05-11,2642.3571428571427
motorway,11,2023-05-15,2853.1666666666665
motorway,11,2023-05-16,2515.75
motorway,11,2023-05-17,2054.0
motorway,11,2023-05-18,2438.3333333333335
motorway,11,2023-05-19,3537.5
motorway,11,2023-05-22,1921.0
motorway,11,2023-05-23,2961.75
motorway,11,2023-05-24,2840.5833333333335
motorway,11,2023-05-25,3603.25
motorway,11,2023-05-26,4462.333333333333
motorway,11,2023-06-05,2880.714285714286
motorway,11,2023-06-06,2771.75
motorway,11,2023-06-07,3115.222222222222
motorway,11,2023-06-09,3974.375
motorway,11,2023-06-12,3392.25
motorway,11,2023-06-13,3758.5
motorway,11,2023-06-14,2946.5833333333335
motorway,11,2023-06-15,2282.0
motorway,11,2023-06-16,4067.8
motorway,11,2023-06-19,1569.25
motorway,11,2023-06-20,2610.375
motorway,11,2023-06-21,2885.5
motorway,11,2023-06-22,2411.7
motorway,11,2023-06-23,3063.75
motorway,11,2023-06-26,1703.25
motorway,11,2023-06-27,3500.4166666666665
motorway,11,2023-06-28,3066.25
motorway,11,2023-06-30,1809.0
motorway,11,2023-07-03,2728.0
motorway,11,2023-07-04,2796.625
motorway,11,2023-07-05,2448.5714285714284
motorway,11,2023-07-06,3217.75
motorway,11,2023-07-10,3559.0
motorway,11,2023-07-11,2089.5
motorway,11,2023-07-12,2409.2
motorway,11,2023-07-13,3270.5
motorway,11,2023-07-14,4024.25
motorway,11,2023-07-18,3112.0
motorway,11,2023-09-06,1756.25
motorway,11,2023-09-08,3672.5
motorway,11,2023-09-11,1531.0
motorway,11,2023-09-12,2889.3333333333335
motorway,11,2023-09-13,4301.5
motorway,11,2023-09-14,2466.0
motorway,11,2023-09-15,4663.0
motorway,11,2023-09-18,3842.0
motorway,11,2023-09-19,3012.5
motorway,11,2023-09-20,3532.25
motorway,11,2023-09-21,2023.25
motorway,11,2023-09-22,3658.3333333333335
motorway,11,2023-09-26,2322.5
motorway,11,2023-09-27,2826.75
motorway,11,2023-09-28,2714.0
motorway,11,2023-09-29,3363.0
motorway,11,2023-10-03,1786.75
motorway,11,2023-10-06,3328.25
motorway,11,2023-10-09,1765.0
motorway,11,2023-10-10,1904.5
motorway,11,2023-10-11,1622.0
motorway,11,2023-10-12,3991.0
motorway,11,2023-10-17,4403.0
motorway,12,2023-03-15,278.0
motorway,12,2023-03-20,462.0
motorway,12,2023-03-27,2626.6428571428573
motorway,12,2023-03-29,2738.8
motorway,12,2023-04-17,2430.5
motorway,12,2023-04-18,2156.9545454545455
motorway,12,2023-04-19,2373.0
motorway,12,2023-04-20,2348.5
motorway,12,2023-04-21,2496.909090909091
motorway,12,2023-04-24,3200.0
motorway,12,2023-04-25,2332.0
motorway,12,2023-04-26,2318.2
motorway,12,2023-04-27,2897.5714285714284
motorway,12,2023-04-28,2541.0
motorway,12,2023-05-02,3541.5
motorway,12,2023-05-03,3063.4
motorway,12,2023-05-04,2643.5
motorway,12,2023-05-05,3108.1875
motorway,12,2023-05-09,2033.5
motorway,12,2023-05-10,2057.8
motorway,12,2023-05-11,2733.714285714286
motorway,12,2023-05-15,2861.6666666666665
motorway,12,2023-05-16,2566.0
motorway,12,2023-05-17,2081.4
motorway,12,2023-05-18,2412.3333333333335
motorway,12,2023-05-19,3706.8333333333335
motorway,12,2023-05-22,1954.6666666666667
motorway,12,2023-05-23,3136.0
motorway,12,2023-05-24,2877.5833333333335
motorway,12,2023-05-25,3660.25
motorway,12,2023-05-26,4285.25
motorway,12,2023-06-05,2935.285714285714
motorway,12,2023-06-06,2803.25
motorway,12,2023-06-07,3059.1111111111113
motorway,12,2023-06-09,4293.625
motorway,12,2023-06-12,3302.25
motorway,12,2023-06-13,3803.5
